Solar elevation from 
at altitude=25.00Km latitude=40.00 longitude=-86.00

Day	== Time ==	Solar Elevation
04-13	13:13:30	+56.251°
04-13	14:10:09	+49.803°
04-13	15:06:48	+40.970°
04-13	16:03:27	+30.900°
04-13	17:00:06	+20.250°
04-13	17:56:45	+09.414°
04-13	18:53:24	-01.318°
04-14	05:38:41	-01.314°
04-14	06:35:30	+09.440°
04-14	07:32:20	+20.311°
04-14	08:29:10	+31.010°
04-14	09:25:60	+41.143°
04-14	10:22:50	+50.053°
04-14	11:19:39	+56.578°
04-14	12:16:29	+59.067°
04-14	13:13:19	+56.578°
04-14	14:10:09	+50.053°
04-14	15:06:58	+41.143°
04-14	16:03:48	+31.010°
04-14	17:00:38	+20.311°
04-14	17:57:28	+09.440°
04-14	18:54:18	-01.314°
04-15	05:37:04	-01.310°
04-15	06:34:05	+09.465°
04-15	07:31:05	+20.370°
04-15	08:28:06	+31.117°
04-15	09:25:06	+41.313°
04-15	10:22:07	+50.299°
04-15	11:19:07	+56.902°
04-15	12:16:08	+59.428°
04-15	13:13:08	+56.902°
04-15	14:10:09	+50.299°
04-15	15:07:09	+41.313°
04-15	16:04:09	+31.117°
04-15	17:01:10	+20.370°
04-15	17:58:10	+09.465°
04-15	18:55:11	-01.310°
04-16	05:35:29	-01.306°
04-16	06:32:40	+09.488°
04-16	07:29:51	+20.428°
04-16	08:27:02	+31.222°
04-16	09:24:13	+41.480°
04-16	10:21:24	+50.542°
04-16	11:18:35	+57.223°
04-16	12:15:46	+59.787°
04-16	13:12:58	+57.223°
04-16	14:10:09	+50.542°
04-16	15:07:20	+41.480°
04-16	16:04:31	+31.222°
04-16	17:01:42	+20.428°
04-16	17:58:53	+09.488°
04-16	18:56:04	-01.306°
04-17	05:33:53	-01.303°
04-17	06:31:15	+09.510°
04-17	07:28:37	+20.483°
04-17	08:25:59	+31.324°
04-17	09:23:20	+41.643°
04-17	10:20:42	+50.782°
04-17	11:18:04	+57.540°
04-17	12:15:26	+60.142°
04-17	13:12:47	+57.540°
04-17	14:10:09	+50.782°
04-17	15:07:31	+41.643°
04-17	16:04:53	+31.324°
04-17	17:02:14	+20.483°
04-17	17:59:36	+09.510°
04-17	18:56:58	-01.303°
04-18	05:32:19	-01.300°
04-18	06:29:51	+09.531°
04-18	07:27:23	+20.536°
04-18	08:24:56	+31.424°
04-18	09:22:28	+41.803°
04-18	10:20:01	+51.018°
04-18	11:17:33	+57.855°
04-18	12:15:05	+60.495°
04-18	13:12:38	+57.855°
04-18	14:10:10	+51.018°
04-18	15:07:42	+41.803°
04-18	16:05:15	+31.424°
04-18	17:02:47	+20.536°
04-18	18:00:19	+09.531°
04-18	18:57:52	-01.300°
04-19	05:30:45	-01.297°
04-19	06:28:28	+09.550°
04-19	07:26:11	+20.587°
04-19	08:23:54	+31.520°
04-19	09:21:36	+41.960°
04-19	10:19:19	+51.250°
04-19	11:17:02	+58.166°
04-19	12:14:45	+60.846°
04-19	13:12:28	+58.166°
04-19	14:10:11	+51.250°
04-19	15:07:54	+41.960°
04-19	16:05:37	+31.520°
04-19	17:03:20	+20.587°
04-19	18:01:03	+09.550°
04-19	18:58:46	-01.297°
04-20	05:29:11	-01.295°
04-20	06:27:05	+09.569°
04-20	07:24:58	+20.637°
04-20	08:22:52	+31.614°
04-20	09:20:45	+42.114°
04-20	10:18:39	+51.478°
04-20	11:16:32	+58.473°
04-20	12:14:26	+61.193°
04-20	13:12:19	+58.473°
04-20	14:10:13	+51.478°
04-20	15:08:06	+42.114°
04-20	16:05:60	+31.614°
04-20	17:03:53	+20.637°
04-20	18:01:47	+09.569°
04-20	18:59:40	-01.295°
04-21	05:27:39	-01.294°
04-21	06:25:43	+09.586°
04-21	07:23:47	+20.684°
04-21	08:21:51	+31.706°
04-21	09:19:55	+42.264°
04-21	10:17:59	+51.703°
04-21	11:16:03	+58.777°
04-21	12:14:07	+61.537°
04-21	13:12:11	+58.777°
04-21	14:10:15	+51.703°
04-21	15:08:19	+42.264°
04-21	16:06:23	+31.706°
04-21	17:04:27	+20.684°
04-21	18:02:31	+09.586°
04-21	19:00:34	-01.294°
04-22	05:26:07	-01.292°
04-22	06:24:21	+09.603°
04-22	07:22:36	+20.730°
04-22	08:20:50	+31.794°
04-22	09:19:05	+42.411°
04-22	10:17:19	+51.923°
04-22	11:15:34	+59.078°
04-22	12:13:48	+61.877°
04-22	13:12:02	+59.078°
04-22	14:10:17	+51.923°
04-22	15:08:31	+42.411°
04-22	16:06:46	+31.794°
04-22	17:05:00	+20.730°
04-22	18:03:15	+09.603°
04-22	19:01:29	-01.292°
04-23	05:24:36	-01.291°
04-23	06:23:01	+09.618°
04-23	07:21:25	+20.774°
04-23	08:19:50	+31.881°
04-23	09:18:15	+42.554°
04-23	10:16:40	+52.140°
04-23	11:15:05	+59.375°
04-23	12:13:30	+62.215°
04-23	13:11:55	+59.375°
04-23	14:10:20	+52.140°
04-23	15:08:44	+42.554°
04-23	16:07:09	+31.881°
04-23	17:05:34	+20.774°
04-23	18:03:59	+09.618°
04-23	19:02:24	-01.291°
04-24	05:23:05	-01.291°
04-24	06:21:41	+09.632°
04-24	07:20:16	+20.816°
04-24	08:18:51	+31.964°
04-24	09:17:26	+42.694°
04-24	10:16:02	+52.353°
04-24	11:14:37	+59.667°
04-24	12:13:12	+62.549°
04-24	13:11:47	+59.667°
04-24	14:10:23	+52.353°
04-24	15:08:58	+42.694°
04-24	16:07:33	+31.964°
04-24	17:06:08	+20.816°
04-24	18:04:44	+09.632°
04-24	19:03:19	-01.291°
04-25	05:21:36	-01.291°
04-25	06:20:22	+09.645°
04-25	07:19:07	+20.856°
04-25	08:17:53	+32.045°
04-25	09:16:38	+42.831°
04-25	10:15:24	+52.562°
04-25	11:14:09	+59.956°
04-25	12:12:55	+62.880°
04-25	13:11:40	+59.956°
04-25	14:10:26	+52.562°
04-25	15:09:12	+42.831°
04-25	16:07:57	+32.045°
04-25	17:06:43	+20.856°
04-25	18:05:28	+09.645°
04-25	19:04:14	-01.291°
04-26	05:20:07	-01.291°
04-26	06:19:03	+09.657°
04-26	07:17:59	+20.894°
04-26	08:16:55	+32.123°
04-26	09:15:51	+42.964°
04-26	10:14:47	+52.767°
04-26	11:13:42	+60.242°
04-26	12:12:38	+63.207°
04-26	13:11:34	+60.242°
04-26	14:10:30	+52.767°
04-26	15:09:26	+42.964°
04-26	16:08:22	+32.123°
04-26	17:07:17	+20.894°
04-26	18:06:13	+09.657°
04-26	19:05:09	-01.291°
04-27	05:18:40	-01.292°
04-27	06:17:46	+09.667°
04-27	07:16:52	+20.930°
04-27	08:15:58	+32.199°
04-27	09:15:04	+43.094°
04-27	10:14:10	+52.968°
04-27	11:13:16	+60.523°
04-27	12:12:22	+63.531°
04-27	13:11:28	+60.523°
04-27	14:10:34	+52.968°
04-27	15:09:40	+43.094°
04-27	16:08:46	+32.199°
04-27	17:07:52	+20.930°
04-27	18:06:58	+09.667°
04-27	19:06:04	-01.292°
04-28	05:17:13	-01.292°
04-28	06:16:29	+09.677°
04-28	07:15:46	+20.965°
04-28	08:15:02	+32.272°
04-28	09:14:18	+43.220°
04-28	10:13:34	+53.165°
04-28	11:12:50	+60.799°
04-28	12:12:07	+63.851°
04-28	13:11:23	+60.799°
04-28	14:10:39	+53.165°
04-28	15:09:55	+43.220°
04-28	16:09:11	+32.272°
04-28	17:08:28	+20.965°
04-28	18:07:44	+09.677°
04-28	19:06:60	-01.292°
04-29	05:15:47	-01.294°
04-29	06:15:14	+09.686°
04-29	07:14:40	+20.998°
04-29	08:14:06	+32.343°
04-29	09:13:33	+43.344°
04-29	10:12:59	+53.357°
04-29	11:12:25	+61.072°
04-29	12:11:52	+64.167°
04-29	13:11:18	+61.072°
04-29	14:10:44	+53.357°
04-29	15:10:10	+43.344°
04-29	16:09:37	+32.343°
04-29	17:09:03	+20.998°
04-29	18:08:29	+09.686°
04-29	19:07:56	-01.294°
04-30	05:14:23	-01.295°
04-30	06:13:59	+09.694°
04-30	07:13:35	+21.029°
04-30	08:13:12	+32.411°
04-30	09:12:48	+43.463°
04-30	10:12:24	+53.546°
04-30	11:12:01	+61.341°
04-30	12:11:37	+64.480°
04-30	13:11:13	+61.341°
04-30	14:10:50	+53.546°
04-30	15:10:26	+43.463°
04-30	16:10:02	+32.411°
04-30	17:09:39	+21.029°
04-30	18:09:15	+09.694°
04-30	19:08:51	-01.295°
05-01	05:12:59	-01.297°
05-01	06:12:45	+09.700°
05-01	07:12:32	+21.059°
05-01	08:12:18	+32.477°
05-01	09:12:04	+43.580°
05-01	10:11:51	+53.730°
05-01	11:11:37	+61.605°
05-01	12:11:23	+64.788°
05-01	13:11:09	+61.605°
05-01	14:10:56	+53.730°
05-01	15:10:42	+43.580°
05-01	16:10:28	+32.477°
05-01	17:10:15	+21.059°
05-01	18:10:01	+09.700°
05-01	19:09:47	-01.297°
05-02	05:11:37	-01.299°
05-02	06:11:33	+09.706°
05-02	07:11:29	+21.087°
05-02	08:11:25	+32.540°
05-02	09:11:21	+43.693°
05-02	10:11:17	+53.911°
05-02	11:11:14	+61.865°
05-02	12:11:10	+65.092°
05-02	13:11:06	+61.865°
05-02	14:11:02	+53.911°
05-02	15:10:58	+43.693°
05-02	16:10:55	+32.540°
05-02	17:10:51	+21.087°
05-02	18:10:47	+09.706°
05-02	19:10:43	-01.299°
05-03	05:10:15	-01.636°
05-03	06:06:36	+08.658°
05-03	07:02:56	+19.318°
05-03	07:59:17	+30.097°
05-03	08:55:38	+40.710°
05-03	09:51:58	+50.716°
05-03	10:48:19	+59.264°
05-03	11:44:40	+64.636°
05-03	12:41:00	+64.636°
05-03	13:37:21	+59.264°
05-03	14:33:41	+50.716°
05-03	15:30:02	+40.710°
05-03	16:26:23	+30.097°
05-03	17:22:43	+19.318°
05-03	18:19:04	+08.658°
05-03	19:15:24	-01.636°
05-04	05:08:55	-01.639°
05-04	06:05:25	+08.660°
05-04	07:01:54	+19.339°
05-04	07:58:24	+30.147°
05-04	08:54:54	+40.801°
05-04	09:51:24	+50.864°
05-04	10:47:53	+59.482°
05-04	11:44:23	+64.921°
05-04	12:40:53	+64.921°
05-04	13:37:23	+59.482°
05-04	14:33:52	+50.864°
05-04	15:30:22	+40.801°
05-04	16:26:52	+30.147°
05-04	17:23:22	+19.339°
05-04	18:19:51	+08.660°
05-04	19:16:21	-01.639°
05-05	05:07:36	-01.642°
05-05	06:04:15	+08.662°
05-05	07:00:54	+19.358°
05-05	07:57:32	+30.195°
05-05	08:54:11	+40.889°
05-05	09:50:50	+51.007°
05-05	10:47:29	+59.696°
05-05	11:44:07	+65.201°
05-05	12:40:46	+65.201°
05-05	13:37:25	+59.696°
05-05	14:34:04	+51.007°
05-05	15:30:42	+40.889°
05-05	16:27:21	+30.195°
05-05	17:24:00	+19.358°
05-05	18:20:39	+08.662°
05-05	19:17:18	-01.642°
05-06	05:06:18	-01.645°
05-06	06:03:06	+08.664°
05-06	06:59:54	+19.376°
05-06	07:56:41	+30.240°
05-06	08:53:29	+40.975°
05-06	09:50:17	+51.147°
05-06	10:47:05	+59.906°
05-06	11:43:52	+65.476°
05-06	12:40:40	+65.476°
05-06	13:37:28	+59.906°
05-06	14:34:16	+51.147°
05-06	15:31:03	+40.975°
05-06	16:27:51	+30.240°
05-06	17:24:39	+19.376°
05-06	18:21:26	+08.664°
05-06	19:18:14	-01.645°
05-07	05:05:02	-01.648°
05-07	06:01:58	+08.664°
05-07	06:58:55	+19.393°
05-07	07:55:52	+30.284°
05-07	08:52:48	+41.057°
05-07	09:49:45	+51.282°
05-07	10:46:41	+60.111°
05-07	11:43:38	+65.747°
05-07	12:40:35	+65.747°
05-07	13:37:31	+60.111°
05-07	14:34:28	+51.282°
05-07	15:31:24	+41.057°
05-07	16:28:21	+30.284°
05-07	17:25:18	+19.393°
05-07	18:22:14	+08.664°
05-07	19:19:11	-01.648°
05-08	05:03:47	-01.652°
05-08	06:00:52	+08.664°
05-08	06:57:57	+19.408°
05-08	07:55:03	+30.326°
05-08	08:52:08	+41.137°
05-08	09:49:13	+51.414°
05-08	10:46:19	+60.311°
05-08	11:43:24	+66.014°
05-08	12:40:30	+66.014°
05-08	13:37:35	+60.311°
05-08	14:34:40	+51.414°
05-08	15:31:46	+41.137°
05-08	16:28:51	+30.326°
05-08	17:25:56	+19.408°
05-08	18:23:02	+08.664°
05-08	19:20:07	-01.652°
05-09	05:02:33	-01.656°
05-09	05:59:47	+08.663°
05-09	06:57:01	+19.422°
05-09	07:54:15	+30.365°
05-09	08:51:29	+41.213°
05-09	09:48:43	+51.542°
05-09	10:45:57	+60.507°
05-09	11:43:11	+66.275°
05-09	12:40:25	+66.275°
05-09	13:37:39	+60.507°
05-09	14:34:53	+51.542°
05-09	15:32:07	+41.213°
05-09	16:29:21	+30.365°
05-09	17:26:35	+19.422°
05-09	18:23:50	+08.663°
05-09	19:21:04	-01.656°
05-10	05:01:20	-01.660°
05-10	05:58:43	+08.661°
05-10	06:56:06	+19.434°
05-10	07:53:28	+30.403°
05-10	08:50:51	+41.287°
05-10	09:48:13	+51.667°
05-10	10:45:36	+60.698°
05-10	11:42:59	+66.532°
05-10	12:40:21	+66.532°
05-10	13:37:44	+60.698°
05-10	14:35:07	+51.667°
05-10	15:32:29	+41.287°
05-10	16:29:52	+30.403°
05-10	17:27:15	+19.434°
05-10	18:24:37	+08.661°
05-10	19:21:60	-01.660°
05-11	05:00:09	-01.664°
05-11	05:57:40	+08.659°
05-11	06:55:11	+19.446°
05-11	07:52:43	+30.438°
05-11	08:50:14	+41.358°
05-11	09:47:45	+51.787°
05-11	10:45:16	+60.885°
05-11	11:42:47	+66.784°
05-11	12:40:18	+66.784°
05-11	13:37:49	+60.885°
05-11	14:35:20	+51.787°
05-11	15:32:52	+41.358°
05-11	16:30:23	+30.438°
05-11	17:27:54	+19.446°
05-11	18:25:25	+08.659°
05-11	19:22:56	-01.664°
05-12	04:58:60	-01.668°
05-12	05:56:39	+08.656°
05-12	06:54:19	+19.456°
05-12	07:51:58	+30.472°
05-12	08:49:38	+41.427°
05-12	09:47:17	+51.904°
05-12	10:44:57	+61.066°
05-12	11:42:36	+67.031°
05-12	12:40:16	+67.031°
05-12	13:37:55	+61.066°
05-12	14:35:34	+51.904°
05-12	15:33:14	+41.427°
05-12	16:30:53	+30.472°
05-12	17:28:33	+19.456°
05-12	18:26:12	+08.656°
05-12	19:23:52	-01.668°
05-13	04:57:52	-01.673°
05-13	05:55:39	+08.653°
05-13	06:53:27	+19.465°
05-13	07:51:15	+30.504°
05-13	08:49:03	+41.492°
05-13	09:46:50	+52.017°
05-13	10:44:38	+61.243°
05-13	11:42:26	+67.273°
05-13	12:40:13	+67.273°
05-13	13:38:01	+61.243°
05-13	14:35:49	+52.017°
05-13	15:33:37	+41.492°
05-13	16:31:24	+30.504°
05-13	17:29:12	+19.465°
05-13	18:26:60	+08.653°
05-13	19:24:48	-01.673°
05-14	04:56:45	-01.677°
05-14	05:54:41	+08.649°
05-14	06:52:37	+19.473°
05-14	07:50:33	+30.534°
05-14	08:48:28	+41.555°
05-14	09:46:24	+52.126°
05-14	10:44:20	+61.416°
05-14	11:42:16	+67.509°
05-14	12:40:12	+67.509°
05-14	13:38:08	+61.416°
05-14	14:36:04	+52.126°
05-14	15:33:60	+41.555°
05-14	16:31:55	+30.534°
05-14	17:29:51	+19.473°
05-14	18:27:47	+08.649°
05-14	19:25:43	-01.677°
05-15	04:55:40	-01.682°
05-15	05:53:44	+08.644°
05-15	06:51:48	+19.480°
05-15	07:49:52	+30.563°
05-15	08:47:56	+41.616°
05-15	09:45:59	+52.232°
05-15	10:44:03	+61.583°
05-15	11:42:07	+67.741°
05-15	12:40:11	+67.741°
05-15	13:38:15	+61.583°
05-15	14:36:19	+52.232°
05-15	15:34:23	+41.616°
05-15	16:32:27	+30.563°
05-15	17:30:31	+19.480°
05-15	18:28:34	+08.644°
05-15	19:26:38	-01.682°
05-16	04:54:36	-01.687°
05-16	05:52:48	+08.639°
05-16	06:51:00	+19.486°
05-16	07:49:12	+30.589°
05-16	08:47:24	+41.674°
05-16	09:45:35	+52.334°
05-16	10:43:47	+61.746°
05-16	11:41:59	+67.967°
05-16	12:40:11	+67.967°
05-16	13:38:23	+61.746°
05-16	14:36:34	+52.334°
05-16	15:34:46	+41.674°
05-16	16:32:58	+30.589°
05-16	17:31:10	+19.486°
05-16	18:29:21	+08.639°
05-16	19:27:33	-01.687°
05-17	04:53:35	-01.692°
05-17	05:51:54	+08.634°
05-17	06:50:14	+19.491°
05-17	07:48:33	+30.615°
05-17	08:46:53	+41.729°
05-17	09:45:12	+52.433°
05-17	10:43:32	+61.904°
05-17	11:41:51	+68.188°
05-17	12:40:11	+68.188°
05-17	13:38:31	+61.904°
05-17	14:36:50	+52.433°
05-17	15:35:10	+41.729°
05-17	16:33:29	+30.615°
05-17	17:31:49	+19.491°
05-17	18:30:08	+08.634°
05-17	19:28:28	-01.692°
05-18	04:52:34	-01.697°
05-18	05:51:02	+08.628°
05-18	06:49:29	+19.495°
05-18	07:47:56	+30.638°
05-18	08:46:23	+41.782°
05-18	09:44:50	+52.528°
05-18	10:43:17	+62.057°
05-18	11:41:45	+68.404°
05-18	12:40:12	+68.404°
05-18	13:38:39	+62.057°
05-18	14:37:06	+52.528°
05-18	15:35:33	+41.782°
05-18	16:34:00	+30.638°
05-18	17:32:28	+19.495°
05-18	18:30:55	+08.628°
05-18	19:29:22	-01.697°
05-19	04:51:36	-01.702°
05-19	05:50:11	+08.622°
05-19	06:48:45	+19.499°
05-19	07:47:20	+30.660°
05-19	08:45:55	+41.833°
05-19	09:44:29	+52.619°
05-19	10:43:04	+62.206°
05-19	11:41:39	+68.614°
05-19	12:40:13	+68.614°
05-19	13:38:48	+62.206°
05-19	14:37:22	+52.619°
05-19	15:35:57	+41.833°
05-19	16:34:32	+30.660°
05-19	17:33:06	+19.499°
05-19	18:31:41	+08.622°
05-19	19:30:16	-01.702°
05-20	04:50:39	-01.708°
05-20	05:49:21	+08.616°
05-20	06:48:03	+19.501°
05-20	07:46:45	+30.681°
05-20	08:45:27	+41.881°
05-20	09:44:09	+52.707°
05-20	10:42:51	+62.350°
05-20	11:41:33	+68.819°
05-20	12:40:15	+68.819°
05-20	13:38:57	+62.350°
05-20	14:37:39	+52.707°
05-20	15:36:21	+41.881°
05-20	16:35:03	+30.681°
05-20	17:33:45	+19.501°
05-20	18:32:27	+08.616°
05-20	19:31:09	-01.708°
05-21	04:49:44	-01.713°
05-21	05:48:33	+08.609°
05-21	06:47:23	+19.503°
05-21	07:46:12	+30.700°
05-21	08:45:01	+41.927°
05-21	09:43:50	+52.792°
05-21	10:42:39	+62.489°
05-21	11:41:28	+69.018°
05-21	12:40:18	+69.018°
05-21	13:39:07	+62.489°
05-21	14:37:56	+52.792°
05-21	15:36:45	+41.927°
05-21	16:35:34	+30.700°
05-21	17:34:23	+19.503°
05-21	18:33:13	+08.609°
05-21	19:32:02	-01.713°
05-22	04:48:51	-01.718°
05-22	05:47:47	+08.602°
05-22	06:46:43	+19.504°
05-22	07:45:40	+30.718°
05-22	08:44:36	+41.971°
05-22	09:43:32	+52.873°
05-22	10:42:28	+62.624°
05-22	11:41:24	+69.212°
05-22	12:40:21	+69.212°
05-22	13:39:17	+62.624°
05-22	14:38:13	+52.873°
05-22	15:37:09	+41.971°
05-22	16:36:05	+30.718°
05-22	17:35:01	+19.504°
05-22	18:33:58	+08.602°
05-22	19:32:54	-01.718°
05-23	04:47:60	-01.723°
05-23	05:47:03	+08.595°
05-23	06:46:06	+19.505°
05-23	07:45:09	+30.735°
05-23	08:44:12	+42.013°
05-23	09:43:15	+52.951°
05-23	10:42:18	+62.754°
05-23	11:41:21	+69.400°
05-23	12:40:24	+69.400°
05-23	13:39:27	+62.754°
05-23	14:38:30	+52.951°
05-23	15:37:33	+42.013°
05-23	16:36:36	+30.735°
05-23	17:35:39	+19.505°
05-23	18:34:42	+08.595°
05-23	19:33:45	-01.723°
05-24	04:47:10	-01.729°
05-24	05:46:20	+08.587°
05-24	06:45:30	+19.505°
05-24	07:44:39	+30.750°
05-24	08:43:49	+42.052°
05-24	09:42:59	+53.026°
05-24	10:42:09	+62.879°
05-24	11:41:18	+69.582°
05-24	12:40:28	+69.582°
05-24	13:39:38	+62.879°
05-24	14:38:48	+53.026°
05-24	15:37:57	+42.052°
05-24	16:37:07	+30.750°
05-24	17:36:17	+19.505°
05-24	18:35:27	+08.587°
05-24	19:34:36	-01.729°
05-25	04:46:22	-01.734°
05-25	05:45:39	+08.580°
05-25	06:44:55	+19.504°
05-25	07:44:11	+30.765°
05-25	08:43:28	+42.090°
05-25	09:42:44	+53.098°
05-25	10:42:00	+63.000°
05-25	11:41:16	+69.759°
05-25	12:40:33	+69.759°
05-25	13:39:49	+63.000°
05-25	14:39:05	+53.098°
05-25	15:38:22	+42.090°
05-25	16:37:38	+30.765°
05-25	17:36:54	+19.504°
05-25	18:36:10	+08.580°
05-25	19:35:27	-01.734°
05-26	04:45:37	-01.739°
05-26	05:44:59	+08.572°
05-26	06:44:22	+19.503°
05-26	07:43:45	+30.778°
05-26	08:43:07	+42.126°
05-26	09:42:30	+53.166°
05-26	10:41:52	+63.116°
05-26	11:41:15	+69.930°
05-26	12:40:38	+69.930°
05-26	13:40:00	+63.116°
05-26	14:39:23	+53.166°
05-26	15:38:46	+42.126°
05-26	16:38:08	+30.778°
05-26	17:37:31	+19.503°
05-26	18:36:54	+08.572°
05-26	19:36:16	-01.739°
05-27	04:44:53	-01.745°
05-27	05:44:22	+08.564°
05-27	06:43:50	+19.501°
05-27	07:43:19	+30.790°
05-27	08:42:48	+42.159°
05-27	09:42:17	+53.232°
05-27	10:41:46	+63.227°
05-27	11:41:14	+70.095°
05-27	12:40:43	+70.095°
05-27	13:40:12	+63.227°
05-27	14:39:41	+53.232°
05-27	15:39:10	+42.159°
05-27	16:38:39	+30.790°
05-27	17:38:07	+19.501°
05-27	18:37:36	+08.564°
05-27	19:37:05	-01.745°
05-28	04:44:11	-01.750°
05-28	05:43:46	+08.556°
05-28	06:43:20	+19.499°
05-28	07:42:55	+30.801°
05-28	08:42:30	+42.191°
05-28	09:42:05	+53.294°
05-28	10:41:40	+63.334°
05-28	11:41:14	+70.254°
05-28	12:40:49	+70.254°
05-28	13:40:24	+63.334°
05-28	14:39:59	+53.294°
05-28	15:39:34	+42.191°
05-28	16:39:09	+30.801°
05-28	17:38:43	+19.499°
05-28	18:38:18	+08.556°
05-28	19:37:53	-01.750°
05-29	04:43:31	-01.755°
05-29	05:43:11	+08.548°
05-29	06:42:52	+19.497°
05-29	07:42:33	+30.811°
05-29	08:42:13	+42.221°
05-29	09:41:54	+53.354°
05-29	10:41:35	+63.436°
05-29	11:41:15	+70.407°
05-29	12:40:56	+70.407°
05-29	13:40:36	+63.436°
05-29	14:40:17	+53.354°
05-29	15:39:58	+42.221°
05-29	16:39:38	+30.811°
05-29	17:39:19	+19.497°
05-29	18:38:59	+08.548°
05-29	19:38:40	-01.755°
05-30	04:42:53	-01.760°
05-30	05:42:39	+08.541°
05-30	06:42:25	+19.494°
05-30	07:42:12	+30.820°
05-30	08:41:58	+42.250°
05-30	09:41:44	+53.410°
05-30	10:41:30	+63.534°
05-30	11:41:17	+70.554°
05-30	12:41:03	+70.554°
05-30	13:40:49	+63.534°
05-30	14:40:35	+53.410°
05-30	15:40:21	+42.250°
05-30	16:40:08	+30.820°
05-30	17:39:54	+19.494°
05-30	18:39:40	+08.541°
05-30	19:39:26	-01.760°
05-31	04:42:17	-01.765°
05-31	05:42:09	+08.533°
05-31	06:42:00	+19.491°
05-31	07:41:52	+30.829°
05-31	08:41:44	+42.276°
05-31	09:41:35	+53.464°
05-31	10:41:27	+63.628°
05-31	11:41:18	+70.695°
05-31	12:41:10	+70.695°
05-31	13:41:02	+63.628°
05-31	14:40:53	+53.464°
05-31	15:40:45	+42.276°
05-31	16:40:37	+30.829°
05-31	17:40:28	+19.491°
05-31	18:40:20	+08.533°
05-31	19:40:12	-01.765°
06-01	04:41:43	-01.769°
06-01	05:41:40	+08.525°
06-01	06:41:37	+19.488°
06-01	07:41:34	+30.837°
06-01	08:41:31	+42.301°
06-01	09:41:27	+53.515°
06-01	10:41:24	+63.717°
06-01	11:41:21	+70.830°
06-01	12:41:18	+70.830°
06-01	13:41:15	+63.717°
06-01	14:41:12	+53.515°
06-01	15:41:08	+42.301°
06-01	16:41:05	+30.837°
06-01	17:41:02	+19.488°
06-01	18:40:59	+08.525°
06-01	19:40:56	-01.769°
06-02	04:41:11	-02.063°
06-02	05:37:41	+07.578°
06-02	06:34:11	+17.840°
06-02	07:30:41	+28.485°
06-02	08:27:11	+39.291°
06-02	09:23:41	+49.986°
06-02	10:20:11	+60.089°
06-02	11:16:41	+68.420°
06-02	12:13:11	+72.058°
06-02	13:09:41	+68.420°
06-02	14:06:11	+60.089°
06-02	15:02:41	+49.986°
06-02	15:59:11	+39.291°
06-02	16:55:41	+28.485°
06-02	17:52:11	+17.840°
06-02	18:48:41	+07.578°
06-02	19:45:11	-02.063°
06-03	04:40:42	-02.068°
06-03	05:37:16	+07.570°
06-03	06:33:51	+17.836°
06-03	07:30:25	+28.489°
06-03	08:26:60	+39.308°
06-03	09:23:34	+50.023°
06-03	10:20:09	+60.155°
06-03	11:16:43	+68.524°
06-03	12:13:17	+72.190°
06-03	13:09:52	+68.524°
06-03	14:06:26	+60.155°
06-03	15:03:01	+50.023°
06-03	15:59:35	+39.308°
06-03	16:56:10	+28.489°
06-03	17:52:44	+17.836°
06-03	18:49:19	+07.570°
06-03	19:45:53	-02.068°
06-04	04:40:14	-02.072°
06-04	05:36:53	+07.563°
06-04	06:33:32	+17.831°
06-04	07:30:10	+28.492°
06-04	08:26:49	+39.324°
06-04	09:23:28	+50.058°
06-04	10:20:07	+60.216°
06-04	11:16:46	+68.624°
06-04	12:13:24	+72.316°
06-04	13:10:03	+68.624°
06-04	14:06:42	+60.216°
06-04	15:03:21	+50.058°
06-04	15:59:59	+39.324°
06-04	16:56:38	+28.492°
06-04	17:53:17	+17.831°
06-04	18:49:56	+07.563°
06-04	19:46:34	-02.072°
06-05	04:39:49	-02.076°
06-05	05:36:32	+07.556°
06-05	06:33:14	+17.827°
06-05	07:29:57	+28.495°
06-05	08:26:40	+39.339°
06-05	09:23:23	+50.090°
06-05	10:20:06	+60.274°
06-05	11:16:49	+68.718°
06-05	12:13:32	+72.435°
06-05	13:10:14	+68.718°
06-05	14:06:57	+60.274°
06-05	15:03:40	+50.090°
06-05	16:00:23	+39.339°
06-05	16:57:06	+28.495°
06-05	17:53:49	+17.827°
06-05	18:50:32	+07.556°
06-05	19:47:14	-02.076°
06-06	04:39:25	-02.080°
06-06	05:36:12	+07.549°
06-06	06:32:59	+17.822°
06-06	07:29:46	+28.497°
06-06	08:26:32	+39.353°
06-06	09:23:19	+50.120°
06-06	10:20:06	+60.329°
06-06	11:16:53	+68.807°
06-06	12:13:39	+72.548°
06-06	13:10:26	+68.807°
06-06	14:07:13	+60.329°
06-06	15:03:60	+50.120°
06-06	16:00:46	+39.353°
06-06	16:57:33	+28.497°
06-06	17:54:20	+17.822°
06-06	18:51:07	+07.549°
06-06	19:47:53	-02.080°
06-07	04:39:04	-02.083°
06-07	05:35:55	+07.542°
06-07	06:32:45	+17.818°
06-07	07:29:35	+28.499°
06-07	08:26:26	+39.365°
06-07	09:23:16	+50.148°
06-07	10:20:07	+60.380°
06-07	11:16:57	+68.890°
06-07	12:13:48	+72.654°
06-07	13:10:38	+68.890°
06-07	14:07:28	+60.380°
06-07	15:04:19	+50.148°
06-07	16:01:09	+39.365°
06-07	16:57:60	+28.499°
