Sunset & Sunrise 
 Altitude=25.00Km Latitude=40.00 Longitude=-86.00

Day	Sunrise		Sunset
05-18	04:52:34.499	20:27:49.102
05-19	04:51:36.022	20:28:50.307
05-20	04:50:39.265	20:29:50.897
05-21	04:49:44.260	20:30:50.826
05-22	04:48:51.038	20:31:50.047
05-23	04:47:59.630	20:32:48.514
05-24	04:47:10.065	20:33:46.177
05-25	04:46:22.373	20:34:42.988
05-26	04:45:36.582	20:35:38.898
05-27	04:44:52.720	20:36:33.856
05-28	04:44:10.811	20:37:27.812
05-29	04:43:30.883	20:38:20.717
05-30	04:42:52.959	20:39:12.519
05-31	04:42:17.063	20:40:03.168
06-01	04:41:43.216	20:40:52.613
06-02	04:41:11.438	20:41:40.805
06-03	04:40:41.750	20:42:27.693
06-04	04:40:14.168	20:43:13.227
06-05	04:39:48.708	20:43:57.359
06-06	04:39:25.386	20:44:40.040
06-07	04:39:04.213	20:45:21.223
06-08	04:38:45.201	20:46:00.860
06-09	04:38:28.359	20:46:38.907
06-10	04:38:13.694	20:47:15.319
06-11	04:38:01.212	20:47:50.052
06-12	04:37:50.915	20:48:23.065
06-13	04:37:42.805	20:48:54.316
06-14	04:37:36.881	20:49:23.766
06-15	04:37:33.139	20:49:51.379
06-16	04:37:31.576	20:50:17.118
06-17	04:37:32.183	20:50:40.949
06-18	04:37:34.950	20:51:02.840
06-19	04:37:39.865	20:51:22.761
06-20	04:37:46.915	20:51:40.684
06-21	04:37:56.083	20:51:56.582
06-22	04:38:07.351	20:52:10.431
06-23	04:38:20.696	20:52:22.208
06-24	04:38:36.098	20:52:31.895
06-25	04:38:53.529	20:52:39.474
06-26	04:39:12.963	20:52:44.927
06-27	04:39:34.370	20:52:48.243
06-28	04:39:57.719	20:52:49.410
06-29	04:40:22.976	20:52:48.419
06-30	04:40:50.106	20:52:45.262
07-01	04:41:19.073	20:52:39.936
07-02	04:41:49.836	20:52:32.436
07-03	04:42:22.357	20:52:22.764
07-04	04:42:56.592	20:52:10.919
07-05	04:43:32.498	20:51:56.906
07-06	04:44:10.031	20:51:40.729
07-07	04:44:49.145	20:51:22.397
07-08	04:45:29.792	20:51:01.916
07-09	04:46:11.924	20:50:39.299
07-10	04:46:55.493	20:50:14.558
07-11	04:47:40.448	20:49:47.706
07-12	04:48:26.739	20:49:18.760
07-13	04:49:14.316	20:48:47.735
07-14	04:50:03.126	20:48:14.651
07-15	04:50:53.118	20:47:39.526
07-16	04:51:44.241	20:47:02.383
07-17	04:52:36.442	20:46:23.243
07-18	04:53:29.669	20:45:42.128
07-19	04:54:23.870	20:44:59.064
07-20	04:55:18.995	20:44:14.076
07-21	04:56:14.991	20:43:27.189
07-22	04:57:11.808	20:42:38.430
07-23	04:58:09.396	20:41:47.827
07-24	04:59:07.706	20:40:55.409
07-25	05:00:06.687	20:40:01.203
07-26	05:01:06.294	20:39:05.241
07-27	05:02:06.478	20:38:07.551
07-28	05:03:07.193	20:37:08.165
07-29	05:04:08.394	20:36:07.113
07-30	05:05:10.037	20:35:04.426
07-31	05:06:12.080	20:34:00.137
08-01	05:07:14.480	20:32:54.278
08-02	05:08:17.198	20:31:46.880
08-03	05:09:20.194	20:30:37.977
08-04	05:10:23.430	20:29:27.601
08-05	05:11:26.870	20:28:15.784
08-06	05:12:30.480	20:27:02.561
08-07	05:13:34.226	20:25:47.964
08-08	05:14:38.075	20:24:32.027
08-09	05:15:41.998	20:23:14.783
08-10	05:16:45.965	20:21:56.265
08-11	05:17:49.949	20:20:36.508
08-12	05:18:53.924	20:19:15.544
08-13	05:19:57.865	20:17:53.408
08-14	05:21:01.750	20:16:30.134
08-15	05:22:05.557	20:15:05.755
08-16	05:23:09.267	20:13:40.304
08-17	05:24:12.861	20:12:13.817
08-18	05:25:16.323	20:10:46.326
08-19	05:26:19.636	20:09:17.865
08-20	05:27:22.787	20:07:48.469
08-21	05:28:25.765	20:06:18.171
08-22	05:29:28.557	20:04:47.005
08-23	05:30:31.154	20:03:15.005
08-24	05:31:33.549	20:01:42.206
08-25	05:32:35.733	20:00:08.640
08-26	05:33:37.703	19:58:34.341
08-27	05:34:39.453	19:56:59.345
08-28	05:35:40.980	19:55:23.684
08-29	05:36:42.284	19:53:47.393
08-30	05:37:43.363	19:52:10.505
08-31	05:38:44.217	19:50:33.055
09-01	05:39:44.850	19:48:55.076
09-02	05:40:45.263	19:47:16.603
09-03	05:41:45.460	19:45:37.670
09-04	05:42:45.447	19:43:58.310
09-05	05:43:45.228	19:42:18.558
09-06	05:44:44.811	19:40:38.447
09-07	05:45:44.204	19:38:58.012
09-08	05:46:43.414	19:37:17.287
09-09	05:47:42.451	19:35:36.305
09-10	05:48:41.324	19:33:55.101
09-11	05:49:40.044	19:32:13.709
09-12	05:50:38.623	19:30:32.162
09-13	05:51:37.072	19:28:50.495
09-14	05:52:35.403	19:27:08.742
09-15	05:53:33.630	19:25:26.936
09-16	05:54:31.764	19:23:45.112
09-17	05:55:29.821	19:22:03.303
09-18	05:56:27.814	19:20:21.543
09-19	05:57:25.757	19:18:39.866
09-20	05:58:23.664	19:16:58.306
09-21	05:59:21.551	19:15:16.896
09-22	06:00:19.433	19:13:35.669
09-23	06:01:17.323	19:11:54.661
09-24	06:02:15.237	19:10:13.902
09-25	06:03:13.190	19:08:33.428
09-26	06:04:11.198	19:06:53.271
09-27	06:05:09.274	19:05:13.465
09-28	06:06:07.433	19:03:34.042
09-29	06:07:05.690	19:01:55.035
09-30	06:08:04.060	19:00:16.477
10-01	06:09:02.555	18:58:38.401
10-02	06:10:01.189	18:57:00.839
10-03	06:10:59.977	18:55:23.823
10-04	06:11:58.930	18:53:47.386
10-05	06:12:58.060	18:52:11.560
10-06	06:13:57.380	18:50:36.377
10-07	06:14:56.900	18:49:01.867
10-08	06:15:56.631	18:47:28.064
10-09	06:16:56.583	18:45:54.997
10-10	06:17:56.765	18:44:22.699
10-11	06:18:57.185	18:42:51.200
10-12	06:19:57.851	18:41:20.530
10-13	06:20:58.769	18:39:50.721
10-14	06:21:59.946	18:38:21.803
10-15	06:23:01.387	18:36:53.806
10-16	06:24:03.095	18:35:26.759
10-17	06:25:05.073	18:34:00.693
10-18	06:26:07.323	18:32:35.637
10-19	06:27:09.847	18:31:11.620
10-20	06:28:12.644	18:29:48.671
10-21	06:29:15.712	18:28:26.820
10-22	06:30:19.050	18:27:06.093
10-23	06:31:22.653	18:25:46.521
10-24	06:32:26.517	18:24:28.130
10-25	06:33:30.635	18:23:10.949
10-26	06:34:35.000	18:21:55.006
10-27	06:35:39.604	18:20:40.327
10-28	06:36:44.435	18:19:26.940
10-29	06:37:49.484	18:18:14.871
10-30	06:38:54.737	18:17:04.148
10-31	06:40:00.180	18:15:54.796
11-01	06:41:05.798	18:14:46.842
11-02	06:42:11.574	18:13:40.310
11-03	06:43:17.489	18:12:35.228
11-04	06:44:23.525	18:11:31.620
11-05	06:45:29.661	18:10:29.510
11-06	06:46:35.873	18:09:28.924
11-07	06:47:42.138	18:08:29.885
11-08	06:48:48.432	18:07:32.419
11-09	06:49:54.727	18:06:36.547
11-10	06:51:00.996	18:05:42.294
11-11	06:52:07.210	18:04:49.682
11-12	06:53:13.339	18:03:58.735
11-13	06:54:19.350	18:03:09.473
11-14	06:55:25.211	18:02:21.918
11-15	06:56:30.888	18:01:36.093
11-16	06:57:36.346	18:00:52.016
11-17	06:58:41.548	18:00:09.710
11-18	06:59:46.456	17:59:29.192
11-19	07:00:51.032	17:58:50.483
11-20	07:01:55.237	17:58:13.601
11-21	07:02:59.030	17:57:38.563
11-22	07:04:02.370	17:57:05.388
11-23	07:05:05.214	17:56:34.090
11-24	07:06:07.520	17:56:04.687
11-25	07:07:09.245	17:55:37.193
11-26	07:08:10.344	17:55:11.622
